@relation Binary_final_data_#Linux
@attribute A {not,free,'virtue hard',panic,very,writer,less,complete,name,'less option',tool,arm,evil,board,python,any,'not much',much,happy,suspicious,'market leader',learn,'free space',rescue,sin,market,'time good','not flower computer','news arm',secure,time,'love hate hate',woman,'tree tree','execution more',more,'quick nice','machine python','delayed failure',building,failure,'save key','save key phase',key,memory,black,window,clock,'tree present',city,computer,little,like,'not party',most,god,love,never,'less good',birthday,'red hat red hat','red hat',improve,'not not',destruction,'time more',book,'world happy','machine improve pain',spring,man,mail,machine,'sunlight scared',game,'much dislike','free learn',moment,'tree game','space bar','safe context','part useful',present,cat,elegant,mistake,useless,hand,easy,'thought learn more',quick,'very nice',useful,'part love',beast,'part more','lucky money car','kind music enjoy',fault,part,delayed,pie,good,flag,'dark free game',serious,'not tool',car,'method not',cell,'arm reserved memory',favor,world,bloody,custom,'cold war',home,'arm tree',house,color,hat,people,material,'evil complete','book knowledge',capable,method,pizza,'free learn more',proud,'arm memory',event,'people death news','lake city',news,movie,'little save',killer,'python game',infection,nice,space,'quite surprised not more',bus,'army knife','freedom improve computer','like like',option,idea,'world much',health,tree,dark,air,'good book',imagine,'computer interest kids blind','most news',life,'christmas time',thought,'part part',green,'alert free',slow,lake,family,'free free','tower tower destroy',fear,'arm clock',slave,'not people','python part',execution,'free time',agony,'improve pain',trouble,quite,dump,crash,'pretty pretty much not','dark free inspired',mind,'time time',severe,privacy,lust,'news foam',answer,power,watch,hide,'people hide',month,'building tool','learn dump watch',safe,confused,'hope like much','name name','much hard','not learn',nun,'history history','not stupid',wine,'learn more',dollar,'friendly tool',umbrella,'part tool','any easy',music,'more life',lamp,barrel,'life not',humble,'like nice',fantasy,'game never','wish good','hard hard',kind,accident,'little option','hard much',boy,hairdryer,dirty,couple,'more color',metal,trust,shadow,'nice little nice','any space',item,false,'more most','love love',enjoy,sun,fall,'broken useful',knowledge,journal,'health dump',foam,'arm tree board','learn python easy','python python','power board',social}
@attribute B numeric
@attribute C numeric
@attribute D numeric
@attribute E numeric
@attribute F numeric
@attribute G {Happiness,Fear,Disgust,Anger,Sadness}
@data
'free space',0.692,0.236,0.265,0.318,0.22,Happiness
any,0,0,0,0,0,Happiness
writer,0.53,0.33,0.39,0.316,0.286,Happiness
any,0,0,0,0,0,Happiness
less,0,0,0,0,0,Happiness
rescue,0.844,0.258,0.362,0.42,0.234,Happiness
rescue,0.844,0.258,0.362,0.42,0.234,Happiness
writer,0.53,0.33,0.39,0.316,0.286,Happiness
tool,0.316,0.266,0.242,0.27,0.246,Happiness
writer,0.53,0.33,0.39,0.316,0.286,Happiness
sin,0.234,0.544,0.562,0.566,0.538,Fear
free,0.872,0.23,0.23,0.266,0.218,Happiness
free,0.872,0.23,0.23,0.266,0.218,Happiness
free,0.872,0.23,0.23,0.266,0.218,Happiness
market,0.426,0.288,0.278,0.296,0.278,Happiness
free,0.872,0.23,0.23,0.266,0.218,Happiness
free,0.872,0.23,0.23,0.266,0.218,Happiness
writer,0.53,0.33,0.39,0.316,0.286,Happiness
writer,0.53,0.33,0.39,0.316,0.286,Happiness
'time good',0.649,0.295,0.309,0.337,0.245,Happiness
'time good',0.649,0.295,0.309,0.337,0.245,Happiness
'not flower computer',0.402,0.559,0.491,0.522,0.525,Anger
'news arm',0.397,0.332,0.354,0.35,0.322,Happiness
secure,0.812,0.226,0.258,0.302,0.228,Happiness
free,0.872,0.23,0.23,0.266,0.218,Happiness
writer,0.53,0.33,0.39,0.316,0.286,Happiness
secure,0.812,0.226,0.258,0.302,0.228,Happiness
'time good',0.649,0.295,0.309,0.337,0.245,Happiness
secure,0.812,0.226,0.258,0.302,0.228,Happiness
writer,0.53,0.33,0.39,0.316,0.286,Happiness
time,0.414,0.356,0.39,0.432,0.264,Fear
writer,0.53,0.33,0.39,0.316,0.286,Happiness
secure,0.812,0.226,0.258,0.302,0.228,Happiness
writer,0.53,0.33,0.39,0.316,0.286,Happiness
python,0.262,0.336,0.304,0.71,0.478,Fear
writer,0.53,0.33,0.39,0.316,0.286,Happiness
evil,0.206,0.764,0.594,0.792,0.558,Fear
writer,0.53,0.33,0.39,0.316,0.286,Happiness
writer,0.53,0.33,0.39,0.316,0.286,Happiness
writer,0.53,0.33,0.39,0.316,0.286,Happiness
writer,0.53,0.33,0.39,0.316,0.286,Happiness
writer,0.53,0.33,0.39,0.316,0.286,Happiness
writer,0.53,0.33,0.39,0.316,0.286,Happiness
suspicious,0.256,0.468,0.338,0.524,0.35,Fear
writer,0.53,0.33,0.39,0.316,0.286,Happiness
very,0,0,0,0,0,Happiness
'love hate hate',0.574,0.576,0.54,0.523,0.424,Anger
writer,0.53,0.33,0.39,0.316,0.286,Happiness
writer,0.53,0.33,0.39,0.316,0.286,Happiness
writer,0.53,0.33,0.39,0.316,0.286,Happiness
woman,0.712,0.344,0.364,0.352,0.268,Happiness
writer,0.53,0.33,0.39,0.316,0.286,Happiness
free,0.872,0.23,0.23,0.266,0.218,Happiness
writer,0.53,0.33,0.39,0.316,0.286,Happiness
'tree tree',0.516,0.224,0.228,0.234,0.212,Happiness
writer,0.53,0.33,0.39,0.316,0.286,Happiness
'execution more',0.224,0.658,0.72,0.688,0.634,Sadness
writer,0.53,0.33,0.39,0.316,0.286,Happiness
woman,0.712,0.344,0.364,0.352,0.268,Happiness
woman,0.712,0.344,0.364,0.352,0.268,Happiness
woman,0.712,0.344,0.364,0.352,0.268,Happiness
more,0,0,0,0,0,Happiness
'quick nice',0.68,0.244,0.247,0.255,0.226,Happiness
not,0,0,0,0,0,Happiness
time,0.414,0.356,0.39,0.432,0.264,Fear
'machine python',0.316,0.337,0.29,0.537,0.378,Fear
more,0,0,0,0,0,Happiness
free,0.872,0.23,0.23,0.266,0.218,Happiness
free,0.872,0.23,0.23,0.266,0.218,Happiness
free,0.872,0.23,0.23,0.266,0.218,Happiness
'delayed failure',0.232,0.601,0.564,0.565,0.44,Anger
free,0.872,0.23,0.23,0.266,0.218,Happiness
arm,0.366,0.246,0.218,0.234,0.226,Happiness
free,0.872,0.23,0.23,0.266,0.218,Happiness
rescue,0.844,0.258,0.362,0.42,0.234,Happiness
arm,0.366,0.246,0.218,0.234,0.226,Happiness
arm,0.366,0.246,0.218,0.234,0.226,Happiness
building,0.334,0.248,0.238,0.28,0.25,Happiness
any,0,0,0,0,0,Happiness
arm,0.366,0.246,0.218,0.234,0.226,Happiness
arm,0.366,0.246,0.218,0.234,0.226,Happiness
arm,0.366,0.246,0.218,0.234,0.226,Happiness
arm,0.366,0.246,0.218,0.234,0.226,Happiness
failure,0.228,0.732,0.812,0.78,0.572,Sadness
'save key',0.564,0.256,0.255,0.273,0.216,Happiness
'save key phase',0.507333,0.292,0.289333,0.294,0.247333,Happiness
key,0.422,0.266,0.244,0.25,0.226,Happiness
key,0.422,0.266,0.244,0.25,0.226,Happiness
memory,0.672,0.4,0.494,0.384,0.338,Happiness
memory,0.672,0.4,0.494,0.384,0.338,Happiness
arm,0.366,0.246,0.218,0.234,0.226,Happiness
arm,0.366,0.246,0.218,0.234,0.226,Happiness
arm,0.366,0.246,0.218,0.234,0.226,Happiness
black,0.274,0.548,0.608,0.584,0.416,Sadness
window,0.446,0.234,0.27,0.248,0.224,Happiness
clock,0.3,0.262,0.276,0.28,0.252,Happiness
'tree present',0.663,0.238,0.249,0.253,0.218,Happiness
more,0,0,0,0,0,Happiness
more,0,0,0,0,0,Happiness
building,0.334,0.248,0.238,0.28,0.25,Happiness
not,0,0,0,0,0,Happiness
building,0.334,0.248,0.238,0.28,0.25,Happiness
arm,0.366,0.246,0.218,0.234,0.226,Happiness
more,0,0,0,0,0,Happiness
city,0.63,0.28,0.258,0.358,0.258,Happiness
python,0.262,0.336,0.304,0.71,0.478,Fear
rescue,0.844,0.258,0.362,0.42,0.234,Happiness
sin,0.234,0.544,0.562,0.566,0.538,Fear
'execution more',0.224,0.658,0.72,0.688,0.634,Sadness
computer,0.538,0.368,0.258,0.286,0.284,Happiness
little,0,0,0,0,0,Happiness
like,0,0,0,0,0,Happiness
free,0.872,0.23,0.23,0.266,0.218,Happiness
any,0,0,0,0,0,Happiness
any,0,0,0,0,0,Happiness
any,0,0,0,0,0,Happiness
'not party',0.138,0.748,0.752,0.724,0.748,Sadness
'not party',0.138,0.748,0.752,0.724,0.748,Sadness
most,0,0,0,0,0,Happiness
'not party',0.138,0.748,0.752,0.724,0.748,Sadness
'not party',0.138,0.748,0.752,0.724,0.748,Sadness
not,0,0,0,0,0,Happiness
not,0,0,0,0,0,Happiness
not,0,0,0,0,0,Happiness
rescue,0.844,0.258,0.362,0.42,0.234,Happiness
happy,0.936,0.216,0.234,0.222,0.22,Happiness
god,0.784,0.276,0.282,0.378,0.218,Happiness
love,0.944,0.34,0.432,0.41,0.244,Happiness
love,0.944,0.34,0.432,0.41,0.244,Happiness
not,0,0,0,0,0,Happiness
never,0,0,0,0,0,Happiness
'less good',0.116,0.766,0.772,0.758,0.774,Disgust
building,0.334,0.248,0.238,0.28,0.25,Happiness
birthday,0.922,0.224,0.262,0.244,0.216,Happiness
'red hat red hat',0.447,0.35,0.256,0.308,0.25,Happiness
learn,0.706,0.34,0.304,0.332,0.222,Happiness
'less option',0.422,0.736,0.762,0.686,0.784,Disgust
'red hat',0.447,0.35,0.256,0.308,0.25,Happiness
improve,0.792,0.258,0.25,0.294,0.212,Happiness
free,0.872,0.23,0.23,0.266,0.218,Happiness
learn,0.706,0.34,0.304,0.332,0.222,Happiness
time,0.414,0.356,0.39,0.432,0.264,Fear
panic,0.24,0.468,0.508,0.792,0.336,Fear
panic,0.24,0.468,0.508,0.792,0.336,Fear
improve,0.792,0.258,0.25,0.294,0.212,Happiness
improve,0.792,0.258,0.25,0.294,0.212,Happiness
evil,0.206,0.764,0.594,0.792,0.558,Fear
tool,0.316,0.266,0.242,0.27,0.246,Happiness
'less option',0.422,0.736,0.762,0.686,0.784,Disgust
python,0.262,0.336,0.304,0.71,0.478,Fear
'not not',0,0,0,0,0,Happiness
city,0.63,0.28,0.258,0.358,0.258,Happiness
destruction,0.24,0.76,0.668,0.616,0.47,Anger
evil,0.206,0.764,0.594,0.792,0.558,Fear
'time more',0.414,0.356,0.39,0.432,0.264,Fear
book,0.606,0.4,0.4,0.372,0.36,Happiness
'execution more',0.224,0.658,0.72,0.688,0.634,Sadness
'world happy',0.761,0.268,0.3,0.287,0.264,Happiness
'not flower computer',0.402,0.559,0.491,0.522,0.525,Anger
'less option',0.422,0.736,0.762,0.686,0.784,Disgust
building,0.334,0.248,0.238,0.28,0.25,Happiness
evil,0.206,0.764,0.594,0.792,0.558,Fear
building,0.334,0.248,0.238,0.28,0.25,Happiness
'machine improve pain',0.460667,0.420667,0.399333,0.450667,0.308,Happiness
'machine improve pain',0.460667,0.420667,0.399333,0.450667,0.308,Happiness
'machine improve pain',0.460667,0.420667,0.399333,0.450667,0.308,Happiness
evil,0.206,0.764,0.594,0.792,0.558,Fear
'machine improve pain',0.460667,0.420667,0.399333,0.450667,0.308,Happiness
evil,0.206,0.764,0.594,0.792,0.558,Fear
not,0,0,0,0,0,Happiness
spring,0.874,0.236,0.246,0.236,0.242,Happiness
free,0.872,0.23,0.23,0.266,0.218,Happiness
most,0,0,0,0,0,Happiness
'market leader',0.568,0.292,0.259,0.303,0.262,Happiness
'market leader',0.568,0.292,0.259,0.303,0.262,Happiness
man,0.668,0.396,0.362,0.36,0.34,Happiness
learn,0.706,0.34,0.304,0.332,0.222,Happiness
learn,0.706,0.34,0.304,0.332,0.222,Happiness
mail,0.708,0.276,0.27,0.284,0.234,Happiness
happy,0.936,0.216,0.234,0.222,0.22,Happiness
machine,0.37,0.338,0.276,0.364,0.278,Happiness
'red hat',0.447,0.35,0.256,0.308,0.25,Happiness
most,0,0,0,0,0,Happiness
'sunlight scared',0.514,0.352,0.414,0.518,0.291,Fear
game,0.706,0.378,0.318,0.294,0.24,Happiness
'much dislike',0,0,0,0,0,Happiness
'much dislike',0,0,0,0,0,Happiness
learn,0.706,0.34,0.304,0.332,0.222,Happiness
arm,0.366,0.246,0.218,0.234,0.226,Happiness
free,0.872,0.23,0.23,0.266,0.218,Happiness
like,0,0,0,0,0,Happiness
computer,0.538,0.368,0.258,0.286,0.284,Happiness
'free learn',0.789,0.285,0.267,0.299,0.22,Happiness
'execution more',0.224,0.658,0.72,0.688,0.634,Sadness
moment,0.53,0.308,0.314,0.302,0.246,Happiness
building,0.334,0.248,0.238,0.28,0.25,Happiness
free,0.872,0.23,0.23,0.266,0.218,Happiness
city,0.63,0.28,0.258,0.358,0.258,Happiness
city,0.63,0.28,0.258,0.358,0.258,Happiness
city,0.63,0.28,0.258,0.358,0.258,Happiness
city,0.63,0.28,0.258,0.358,0.258,Happiness
'tree game',0.611,0.301,0.273,0.264,0.226,Happiness
'space bar',0.567,0.28,0.313,0.351,0.273,Happiness
free,0.872,0.23,0.23,0.266,0.218,Happiness
'safe context',0.551,0.228,0.229,0.258,0.216,Happiness
more,0,0,0,0,0,Happiness
building,0.334,0.248,0.238,0.28,0.25,Happiness
building,0.334,0.248,0.238,0.28,0.25,Happiness
'sunlight scared',0.514,0.352,0.414,0.518,0.291,Fear
rescue,0.844,0.258,0.362,0.42,0.234,Happiness
rescue,0.844,0.258,0.362,0.42,0.234,Happiness
'part useful',0.513,0.255,0.265,0.251,0.238,Happiness
'part useful',0.513,0.255,0.265,0.251,0.238,Happiness
present,0.81,0.252,0.27,0.272,0.224,Happiness
cat,0.56,0.29,0.252,0.304,0.33,Happiness
'execution more',0.224,0.658,0.72,0.688,0.634,Sadness
learn,0.706,0.34,0.304,0.332,0.222,Happiness
learn,0.706,0.34,0.304,0.332,0.222,Happiness
elegant,0.692,0.23,0.242,0.216,0.222,Happiness
writer,0.53,0.33,0.39,0.316,0.286,Happiness
building,0.334,0.248,0.238,0.28,0.25,Happiness
mistake,0.238,0.514,0.484,0.498,0.352,Anger
building,0.334,0.248,0.238,0.28,0.25,Happiness
free,0.872,0.23,0.23,0.266,0.218,Happiness
building,0.334,0.248,0.238,0.28,0.25,Happiness
not,0,0,0,0,0,Happiness
learn,0.706,0.34,0.304,0.332,0.222,Happiness
not,0,0,0,0,0,Happiness
useless,0.222,0.544,0.544,0.416,0.456,Anger
hand,0.386,0.252,0.246,0.246,0.236,Happiness
hand,0.386,0.252,0.246,0.246,0.236,Happiness
'delayed failure',0.232,0.601,0.564,0.565,0.44,Anger
learn,0.706,0.34,0.304,0.332,0.222,Happiness
hand,0.386,0.252,0.246,0.246,0.236,Happiness
hand,0.386,0.252,0.246,0.246,0.236,Happiness
learn,0.706,0.34,0.304,0.332,0.222,Happiness
easy,0.784,0.222,0.23,0.238,0.218,Happiness
learn,0.706,0.34,0.304,0.332,0.222,Happiness
'thought learn more',0.635,0.362,0.351,0.363,0.283,Happiness
present,0.81,0.252,0.27,0.272,0.224,Happiness
quick,0.506,0.266,0.262,0.282,0.228,Happiness
'very nice',0.427,0.111,0.116,0.114,0.112,Happiness
useful,0.71,0.254,0.232,0.228,0.224,Happiness
building,0.334,0.248,0.238,0.28,0.25,Happiness
'part love',0.63,0.298,0.365,0.342,0.248,Happiness
beast,0.248,0.412,0.33,0.628,0.394,Fear
tool,0.316,0.266,0.242,0.27,0.246,Happiness
free,0.872,0.23,0.23,0.266,0.218,Happiness
building,0.334,0.248,0.238,0.28,0.25,Happiness
'part more',0.316,0.256,0.298,0.274,0.252,Happiness
'lucky money car',0.81,0.338,0.310667,0.344,0.3,Happiness
learn,0.706,0.34,0.304,0.332,0.222,Happiness
'part more',0.316,0.256,0.298,0.274,0.252,Happiness
'thought learn more',0.635,0.362,0.351,0.363,0.283,Happiness
'kind music enjoy',0.843,0.274,0.29,0.235,0.227,Happiness
'space bar',0.567,0.28,0.313,0.351,0.273,Happiness
learn,0.706,0.34,0.304,0.332,0.222,Happiness
tool,0.316,0.266,0.242,0.27,0.246,Happiness
fault,0.238,0.532,0.434,0.484,0.346,Anger
secure,0.812,0.226,0.258,0.302,0.228,Happiness
free,0.872,0.23,0.23,0.266,0.218,Happiness
part,0.316,0.256,0.298,0.274,0.252,Happiness
happy,0.936,0.216,0.234,0.222,0.22,Happiness
not,0,0,0,0,0,Happiness
'delayed failure',0.232,0.601,0.564,0.565,0.44,Anger
delayed,0.236,0.47,0.316,0.35,0.308,Anger
pie,0.772,0.244,0.238,0.232,0.266,Happiness
'delayed failure',0.232,0.601,0.564,0.565,0.44,Anger
'delayed failure',0.232,0.601,0.564,0.565,0.44,Anger
good,0.884,0.234,0.228,0.242,0.226,Happiness
'delayed failure',0.232,0.601,0.564,0.565,0.44,Anger
good,0.884,0.234,0.228,0.242,0.226,Happiness
'delayed failure',0.232,0.601,0.564,0.565,0.44,Anger
good,0.884,0.234,0.228,0.242,0.226,Happiness
'delayed failure',0.232,0.601,0.564,0.565,0.44,Anger
delayed,0.236,0.47,0.316,0.35,0.308,Anger
'delayed failure',0.232,0.601,0.564,0.565,0.44,Anger
flag,0.626,0.284,0.318,0.288,0.246,Happiness
'dark free game',0.646667,0.312,0.327333,0.391333,0.236667,Happiness
time,0.414,0.356,0.39,0.432,0.264,Fear
arm,0.366,0.246,0.218,0.234,0.226,Happiness
serious,0.29,0.384,0.368,0.394,0.258,Fear
'not tool',0.684,0.734,0.758,0.73,0.754,Sadness
more,0,0,0,0,0,Happiness
car,0.718,0.326,0.29,0.384,0.256,Happiness
free,0.872,0.23,0.23,0.266,0.218,Happiness
less,0,0,0,0,0,Happiness
less,0,0,0,0,0,Happiness
less,0,0,0,0,0,Happiness
less,0,0,0,0,0,Happiness
less,0,0,0,0,0,Happiness
'method not',0.314,0.252,0.25,0.258,0.244,Happiness
cell,0.458,0.34,0.322,0.336,0.258,Happiness
'arm reserved memory',0.480667,0.323333,0.353333,0.322,0.277333,Happiness
not,0,0,0,0,0,Happiness
favor,0.632,0.26,0.228,0.25,0.258,Happiness
arm,0.366,0.246,0.218,0.234,0.226,Happiness
free,0.872,0.23,0.23,0.266,0.218,Happiness
world,0.586,0.32,0.366,0.352,0.308,Happiness
world,0.586,0.32,0.366,0.352,0.308,Happiness
not,0,0,0,0,0,Happiness
not,0,0,0,0,0,Happiness
world,0.586,0.32,0.366,0.352,0.308,Happiness
not,0,0,0,0,0,Happiness
name,0.508,0.298,0.278,0.264,0.252,Happiness
python,0.262,0.336,0.304,0.71,0.478,Fear
bloody,0.218,0.55,0.634,0.738,0.738,Fear
'execution more',0.224,0.658,0.72,0.688,0.634,Sadness
custom,0.442,0.242,0.256,0.236,0.234,Happiness
more,0,0,0,0,0,Happiness
tool,0.316,0.266,0.242,0.27,0.246,Happiness
'cold war',0.262,0.589,0.59,0.583,0.457,Sadness
useless,0.222,0.544,0.544,0.416,0.456,Anger
'cold war',0.262,0.589,0.59,0.583,0.457,Sadness
quick,0.506,0.266,0.262,0.282,0.228,Happiness
learn,0.706,0.34,0.304,0.332,0.222,Happiness
home,0.82,0.284,0.346,0.264,0.244,Happiness
'arm tree',0.441,0.235,0.223,0.234,0.219,Happiness
house,0.634,0.238,0.258,0.23,0.25,Happiness
arm,0.366,0.246,0.218,0.234,0.226,Happiness
cell,0.458,0.34,0.322,0.336,0.258,Happiness
color,0.694,0.268,0.288,0.284,0.246,Happiness
less,0,0,0,0,0,Happiness
less,0,0,0,0,0,Happiness
less,0,0,0,0,0,Happiness
more,0,0,0,0,0,Happiness
more,0,0,0,0,0,Happiness
hat,0.436,0.23,0.23,0.228,0.236,Happiness
part,0.316,0.256,0.298,0.274,0.252,Happiness
color,0.694,0.268,0.288,0.284,0.246,Happiness
python,0.262,0.336,0.304,0.71,0.478,Fear
flag,0.626,0.284,0.318,0.288,0.246,Happiness
time,0.414,0.356,0.39,0.432,0.264,Fear
people,0.626,0.382,0.38,0.386,0.344,Happiness
time,0.414,0.356,0.39,0.432,0.264,Fear
cat,0.56,0.29,0.252,0.304,0.33,Happiness
more,0,0,0,0,0,Happiness
material,0.408,0.296,0.288,0.27,0.312,Happiness
material,0.408,0.296,0.288,0.27,0.312,Happiness
building,0.334,0.248,0.238,0.28,0.25,Happiness
more,0,0,0,0,0,Happiness
city,0.63,0.28,0.258,0.358,0.258,Happiness
python,0.262,0.336,0.304,0.71,0.478,Fear
more,0,0,0,0,0,Happiness
city,0.63,0.28,0.258,0.358,0.258,Happiness
city,0.63,0.28,0.258,0.358,0.258,Happiness
less,0,0,0,0,0,Happiness
'arm tree',0.441,0.235,0.223,0.234,0.219,Happiness
free,0.872,0.23,0.23,0.266,0.218,Happiness
free,0.872,0.23,0.23,0.266,0.218,Happiness
free,0.872,0.23,0.23,0.266,0.218,Happiness
'evil complete',0.206,0.764,0.594,0.792,0.558,Fear
'book knowledge',0.643,0.317,0.318,0.314,0.295,Happiness
'evil complete',0.206,0.764,0.594,0.792,0.558,Fear
not,0,0,0,0,0,Happiness
arm,0.366,0.246,0.218,0.234,0.226,Happiness
capable,0.684,0.262,0.27,0.312,0.252,Happiness
method,0.314,0.252,0.25,0.258,0.244,Happiness
capable,0.684,0.262,0.27,0.312,0.252,Happiness
python,0.262,0.336,0.304,0.71,0.478,Fear
love,0.944,0.34,0.432,0.41,0.244,Happiness
python,0.262,0.336,0.304,0.71,0.478,Fear
woman,0.712,0.344,0.364,0.352,0.268,Happiness
tool,0.316,0.266,0.242,0.27,0.246,Happiness
python,0.262,0.336,0.304,0.71,0.478,Fear
python,0.262,0.336,0.304,0.71,0.478,Fear
python,0.262,0.336,0.304,0.71,0.478,Fear
pizza,0.74,0.23,0.218,0.23,0.288,Happiness
tool,0.316,0.266,0.242,0.27,0.246,Happiness
more,0,0,0,0,0,Happiness
less,0,0,0,0,0,Happiness
writer,0.53,0.33,0.39,0.316,0.286,Happiness
writer,0.53,0.33,0.39,0.316,0.286,Happiness
writer,0.53,0.33,0.39,0.316,0.286,Happiness
writer,0.53,0.33,0.39,0.316,0.286,Happiness
writer,0.53,0.33,0.39,0.316,0.286,Happiness
writer,0.53,0.33,0.39,0.316,0.286,Happiness
writer,0.53,0.33,0.39,0.316,0.286,Happiness
free,0.872,0.23,0.23,0.266,0.218,Happiness
writer,0.53,0.33,0.39,0.316,0.286,Happiness
free,0.872,0.23,0.23,0.266,0.218,Happiness
'free learn more',0.789,0.285,0.267,0.299,0.22,Happiness
proud,0.636,0.31,0.258,0.316,0.252,Happiness
part,0.316,0.256,0.298,0.274,0.252,Happiness
pie,0.772,0.244,0.238,0.232,0.266,Happiness
'part love',0.63,0.298,0.365,0.342,0.248,Happiness
free,0.872,0.23,0.23,0.266,0.218,Happiness
writer,0.53,0.33,0.39,0.316,0.286,Happiness
free,0.872,0.23,0.23,0.266,0.218,Happiness
'kind music enjoy',0.843,0.274,0.29,0.235,0.227,Happiness
'arm memory',0.519,0.323,0.356,0.309,0.282,Happiness
'kind music enjoy',0.843,0.274,0.29,0.235,0.227,Happiness
'part love',0.63,0.298,0.365,0.342,0.248,Happiness
writer,0.53,0.33,0.39,0.316,0.286,Happiness
writer,0.53,0.33,0.39,0.316,0.286,Happiness
learn,0.706,0.34,0.304,0.332,0.222,Happiness
less,0,0,0,0,0,Happiness
writer,0.53,0.33,0.39,0.316,0.286,Happiness
'execution more',0.224,0.658,0.72,0.688,0.634,Sadness
more,0,0,0,0,0,Happiness
tool,0.316,0.266,0.242,0.27,0.246,Happiness
custom,0.442,0.242,0.256,0.236,0.234,Happiness
more,0,0,0,0,0,Happiness
'free learn more',0.789,0.285,0.267,0.299,0.22,Happiness
